! historical GHG data for CMIP6 
! source: /group_workspaces/jasmin2/tids/CMIP6_ANCIL/data/inputs4MIPs_2017-06-08/UoM/GHGConcentrations/CMIP/UoM-CMIP-1-2-0/yr/ 
 &THISFILE_SPECIFICATIONS 
 THISFILE_DATACOLUMNS    =          24, 
 THISFILE_FIRSTYEAR      =        1850, 
 THISFILE_LASTYEAR       =        2014, 
 THISFILE_ANNUALSTEPS    =           1, 
 THISFILE_FIRSTDATAROW   =          15, 
 THISFILE_UNITS          =  SEE ROW 13, 
 THISFILE_DATTYPE        =  RCPDAT 
/ 
   COLUMN:      1   2   3   4   5   6   7   8   9   10   11   12   13   14   15   16   17   18   19   20   21   22   23   24
   UNITS:      ppt   ppm   ppb   ppb   ppt   ppt   ppt   ppt   ppt   ppt   ppt   ppt   ppt   ppt   ppt   ppt   ppt   ppt   ppt   ppt   ppt   ppt   ppt   ppt
   YEARS      DUMM0   CO2   CH4   N2O   HFC125   HFC134a   CFC_11   CFC_12   DUMM1   CFC_113   CFC_114   CFC_115   CARB_TET   MCF   HCFC_22   HCFC_141B   HCFC_142B   HALON1211   HALON1202   HALON1301   HALON2402   CH3BR   CH3CL   DUMM2
   1873    -0.0000e+00    2.8786e+02    8.5617e+02    2.7625e+02    0.0000e+00    0.0000e+00    0.0000e+00    0.0000e+00    -0.0000e+00    0.0000e+00    0.0000e+00    0.0000e+00    2.5000e-02    0.0000e+00    0.0000e+00    0.0000e+00    0.0000e+00    4.4466e-03    0.0000e+00    0.0000e+00    0.0000e+00    5.3000e+00    4.5700e+02    -0.0000e+00
   1874    -0.0000e+00    2.8806e+02    8.5782e+02    2.7642e+02    0.0000e+00    0.0000e+00    0.0000e+00    0.0000e+00    -0.0000e+00    0.0000e+00    0.0000e+00    0.0000e+00    2.5000e-02    0.0000e+00    0.0000e+00    0.0000e+00    0.0000e+00    4.4466e-03    0.0000e+00    0.0000e+00    0.0000e+00    5.3000e+00    4.5700e+02    -0.0000e+00
   1875    -0.0000e+00    2.8829e+02    8.5947e+02    2.7659e+02    0.0000e+00    0.0000e+00    0.0000e+00    0.0000e+00    -0.0000e+00    0.0000e+00    0.0000e+00    0.0000e+00    2.5000e-02    0.0000e+00    0.0000e+00    0.0000e+00    0.0000e+00    4.4466e-03    0.0000e+00    0.0000e+00    0.0000e+00    5.3000e+00    4.5700e+02    -0.0000e+00
   1876    -0.0000e+00    2.8852e+02    8.6086e+02    2.7674e+02    0.0000e+00    0.0000e+00    0.0000e+00    0.0000e+00    -0.0000e+00    0.0000e+00    0.0000e+00    0.0000e+00    2.5000e-02    0.0000e+00    0.0000e+00    0.0000e+00    0.0000e+00    4.4466e-03    0.0000e+00    0.0000e+00    0.0000e+00    5.3000e+00    4.5700e+02    -0.0000e+00
   1877    -0.0000e+00    2.8875e+02    8.6238e+02    2.7686e+02    0.0000e+00    0.0000e+00    0.0000e+00    0.0000e+00    -0.0000e+00    0.0000e+00    0.0000e+00    0.0000e+00    2.5000e-02    0.0000e+00    0.0000e+00    0.0000e+00    0.0000e+00    4.4466e-03    0.0000e+00    0.0000e+00    0.0000e+00    5.3000e+00    4.5700e+02    -0.0000e+00
   1878    -0.0000e+00    2.8899e+02    8.6414e+02    2.7700e+02    0.0000e+00    0.0000e+00    0.0000e+00    0.0000e+00    -0.0000e+00    0.0000e+00    0.0000e+00    0.0000e+00    2.5000e-02    0.0000e+00    0.0000e+00    0.0000e+00    0.0000e+00    4.4466e-03    0.0000e+00    0.0000e+00    0.0000e+00    5.3000e+00    4.5700e+02    -0.0000e+00
   1879    -0.0000e+00    2.8922e+02    8.6628e+02    2.7713e+02    0.0000e+00    0.0000e+00    0.0000e+00    0.0000e+00    -0.0000e+00    0.0000e+00    0.0000e+00    0.0000e+00    2.5000e-02    0.0000e+00    0.0000e+00    0.0000e+00    0.0000e+00    4.4466e-03    0.0000e+00    0.0000e+00    0.0000e+00    5.3000e+00    4.5700e+02    -0.0000e+00
   1880    -0.0000e+00    2.8947e+02    8.6870e+02    2.7727e+02    0.0000e+00    0.0000e+00    0.0000e+00    0.0000e+00    -0.0000e+00    0.0000e+00    0.0000e+00    0.0000e+00    2.5000e-02    0.0000e+00    0.0000e+00    0.0000e+00    0.0000e+00    4.4466e-03    0.0000e+00    0.0000e+00    0.0000e+00    5.3000e+00    4.5700e+02    -0.0000e+00
   1881    -0.0000e+00    2.8974e+02    8.7098e+02    2.7737e+02    0.0000e+00    0.0000e+00    0.0000e+00    0.0000e+00    -0.0000e+00    0.0000e+00    0.0000e+00    0.0000e+00    2.5000e-02    0.0000e+00    0.0000e+00    0.0000e+00    0.0000e+00    4.4466e-03    0.0000e+00    0.0000e+00    0.0000e+00    5.3000e+00    4.5700e+02    -0.0000e+00
   1882    -0.0000e+00    2.9002e+02    8.7325e+02    2.7749e+02    0.0000e+00    0.0000e+00    0.0000e+00    0.0000e+00    -0.0000e+00    0.0000e+00    0.0000e+00    0.0000e+00    2.5000e-02    0.0000e+00    0.0000e+00    0.0000e+00    0.0000e+00    4.4466e-03    0.0000e+00    0.0000e+00    0.0000e+00    5.3000e+00    4.5700e+02    -0.0000e+00
