               CO2          CH4          N2O       CFC_11       CFC_12      CFC_113      HCFC_22       HFC125      HFC134a
YEARS                                                                                                                     
1879  4.389163e-04 4.791425e-07 4.205973e-07 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1880  4.392957e-04 4.804810e-07 4.208098e-07 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1881  4.397054e-04 4.817420e-07 4.209616e-07 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1882  4.401304e-04 4.829976e-07 4.211437e-07 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1883  4.404946e-04 4.842974e-07 4.212955e-07 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1884  4.408740e-04 4.857078e-07 4.214624e-07 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1885  4.413141e-04 4.873007e-07 4.216142e-07 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1886  4.417693e-04 4.888550e-07 4.217508e-07 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1887  4.422398e-04 4.905640e-07 4.219177e-07 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1888  4.427710e-04 4.922234e-07 4.220391e-07 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1889  4.433021e-04 4.940099e-07 4.222061e-07 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1890  4.438333e-04 4.957909e-07 4.223275e-07 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1891  4.443796e-04 4.976106e-07 4.224489e-07 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1892  4.449107e-04 4.997456e-07 4.225855e-07 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1893  4.453812e-04 5.018142e-07 4.227525e-07 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1894  4.458517e-04 5.035896e-07 4.229649e-07 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1895  4.462918e-04 5.051107e-07 4.231774e-07 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1896  4.467167e-04 5.059624e-07 4.233444e-07 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1897  4.471568e-04 5.067921e-07 4.235113e-07 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1898  4.476121e-04 5.083131e-07 4.236782e-07 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1899  4.481432e-04 5.101162e-07 4.239059e-07 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1900  4.487047e-04 5.119249e-07 4.241184e-07 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1901  4.492207e-04 5.137225e-07 4.243612e-07 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1902  4.497063e-04 5.158962e-07 4.247406e-07 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1903  4.501919e-04 5.181362e-07 4.251959e-07 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1904  4.506472e-04 5.210843e-07 4.256057e-07 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1905  4.511632e-04 5.240323e-07 4.260307e-07 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1906  4.517247e-04 5.271574e-07 4.264404e-07 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1907  4.523924e-04 5.305147e-07 4.268957e-07 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1908  4.530298e-04 5.332415e-07 4.273966e-07 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1909  4.536672e-04 5.361785e-07 4.279126e-07 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1910  4.543350e-04 5.391597e-07 4.284590e-07 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1911  4.550179e-04 5.417482e-07 4.290812e-07 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1912  4.558070e-04 5.440381e-07 4.295365e-07 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1913  4.566569e-04 5.454927e-07 4.300525e-07 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1914  4.574308e-04 5.468036e-07 4.305989e-07 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1915  4.582200e-04 5.483799e-07 4.310997e-07 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1916  4.590395e-04 5.522461e-07 4.314943e-07 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1917  4.598438e-04 5.550946e-07 4.319648e-07 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1918  4.605115e-04 5.586898e-07 4.322532e-07 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1919  4.610579e-04 5.628381e-07 4.323139e-07 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1920  4.617256e-04 5.669863e-07 4.324353e-07 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1921  4.622568e-04 5.709134e-07 4.326023e-07 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1922  4.627727e-04 5.747298e-07 4.327996e-07 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1923  4.632735e-04 5.780484e-07 4.332549e-07 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1924  4.638199e-04 5.804821e-07 4.334673e-07 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1925  4.640930e-04 5.819754e-07 4.335280e-07 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1926  4.643055e-04 5.827498e-07 4.335888e-07 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1927  4.646545e-04 5.839666e-07 4.336646e-07 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1928  4.648822e-04 5.866215e-07 4.338012e-07 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1929  4.651250e-04 5.899954e-07 4.338923e-07 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1930  4.653223e-04 5.932588e-07 4.339682e-07 0.000000e+00 0.000000e+00 8.496487e-15 0.000000e+00 0.000000e+00 0.000000e+00
